name,pdf_url,isin
Pictet - Chinese Local Currency Debt - R EUR,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU1164802040
Pictet - China Equities - P EUR,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0255978347
Pictet - Chinese Local Currency Debt - HF USD,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU2280526802
Pictet - Asian Local Currency Debt - P dm USD,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0954002050
Pictet - CHF Bonds - R,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0135487733
Pictet - Asian Local Currency Debt - P USD,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0255797556
Pictet - China Equities - P dy USD,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0208612407
Pictet - Asian Local Currency Debt - HP EUR,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0474964979
Pictet - Asian Equities Ex Japan - P dy USD,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0208611698
Pictet - Asian Equities Ex Japan - P USD,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0155303323
Pictet - Asian Equities Ex Japan - P EUR,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0255976994
Pictet - China Equities - R USD,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0168450194
Pictet - Asian Equities Ex Japan - R USD,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0155303752
Pictet - Absolute Return Fixed Income - P dy USD,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0988402227
Pictet - Asian Equities Ex Japan - HP EUR,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0248316639
Pictet - Absolute Return Fixed Income - P USD,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0988402060
Pictet - Absolute Return Fixed Income - HP GBP,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU1128766778
Pictet - Absolute Return Fixed Income - HP EUR,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0988402730
