name,pdf_url,isin
ODDO BHF Haut Rendement 2023 CI-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=13652&IdSeqArray=1193150,FR0013173408
ODDO BHF Green Planet DR-USD,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189930790
ODDO BHF Green Planet CR-USD,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189930014
ODDO BHF Green Planet CR-EUR[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189929511
ODDO BHF Green Planet CR-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189930105
ODDO BHF Green Planet CNw-USD,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189930956
ODDO BHF Green Planet CN-USD,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189930444
ODDO BHF Green Planet CN-EUR[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189929784
ODDO BHF Green Planet CN-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189930360
ODDO BHF Green Planet CIw-USD,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189930527
ODDO BHF Green Planet CRw-EUR[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189929867
ODDO BHF Green Planet CI-USD,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189929941
ODDO BHF Patrimoine CR-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=4437&IdSeqArray=1374904,FR0000992042
ODDO BHF Green Planet CI-EUR[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189929438
ODDO BHF Green Planet CIw-EUR[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189929602
ODDO BHF Génération CR-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=1675&IdSeqArray=1043667,FR0010574434
ODDO BHF Exklusiv: Polaris Dynamic (CN-EUR),https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=29458&IdSeqArray=995350,LU1849528150
ODDO BHF Exklusiv: Polaris Balanced (CN-EUR),https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=29454&IdSeqArray=995342,LU1849527855
ODDO BHF Euro High Yield Bond DR-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11222&IdSeqArray=1093744,LU0243919577
ODDO BHF Euro High Yield Bond DP-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11222&IdSeqArray=1093744,LU0456627214
ODDO BHF Euro Credit Short Duration CN-USD[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11225&IdSeqArray=1093747,LU1752465093
ODDO BHF Euro Credit Short Duration CN-CHF[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11225&IdSeqArray=1093747,LU1486845966
ODDO BHF Exklusiv: Polaris Balanced (CR-EUR),https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=29454&IdSeqArray=995342,LU1849527939
ODDO BHF Convertibles Global CR-USD[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11236&IdSeqArray=1093757,LU1493433186
ODDO BHF Exklusiv: Polaris Dynamic (CR-EUR),https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=29458&IdSeqArray=995350,LU1849528234
ODDO BHF Convertibles Global CR-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11236&IdSeqArray=1093757,LU1493433004
ODDO BHF Convertibles Global CN-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11236&IdSeqArray=1093757,LU1752466141
ODDO BHF Convertibles Global CI-USD[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11236&IdSeqArray=1093757,LU1493432709
ODDO BHF Euro Credit Short Duration CI-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11225&IdSeqArray=1093747,LU0628638032
ODDO BHF Convertibles Global CR-CHF[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11236&IdSeqArray=1093757,LU1493433343
ODDO BHF Avenir Europe DR-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=1615&IdSeqArray=1367295,FR0011380070
ODDO BHF Convertibles Global CI-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11236&IdSeqArray=1093757,LU1493432618
ODDO BHF Avenir Europe CI-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=1615&IdSeqArray=1367295,FR0010251108
ODDO BHF Avenir Europe CN-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=1615&IdSeqArray=1367295,FR0011036920
ODDO BHF Artificial Intelligence DR-USD,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU1919842853
ODDO BHF Artificial Intelligence DI-USD,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU1919842341
ODDO BHF Artificial Intelligence CR-USD,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU1833932780
ODDO BHF Convertibles Global CI-CHF[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11236&IdSeqArray=1093757,LU1493432964
ODDO BHF Artificial Intelligence CNw-USD,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU1919842937
ODDO BHF Artificial Intelligence CN-USD,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU1919842697
ODDO BHF Artificial Intelligence CR-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU1919842267
ODDO BHF Artificial Intelligence CN-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU1919842424
ODDO BHF Artificial Intelligence CR-EUR[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU1833932608
ODDO BHF Artificial Intelligence CP-EUR[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU2209755847
ODDO BHF Artificial Intelligence CIw-EUR[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU1833932947
ODDO BHF Euro Credit Short Duration CP-CHF[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11225&IdSeqArray=1093747,LU1486846428
ODDO BHF Artificial Intelligence CI-EUR[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU1833933242
ODDO BHF Euro Credit Short Duration CP-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11225&IdSeqArray=1093747,LU0628638206
ODDO BHF Euro Credit Short Duration CN-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11225&IdSeqArray=1093747,LU1486845883
ODDO BHF Artificial Intelligence CRw-EUR[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU1833933085
ODDO BHF Polaris Balanced F DN-EUR,annual_report_does_not_exists,LU2324315717
ODDO BHF Polaris Balanced F DR-EUR,annual_report_does_not_exists,LU2324315980
ODDO BHF Polaris Flexible (CI-EUR),https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=29287&IdSeqArray=994200,LU2192036163
ODDO BHF Artificial Intelligence CI-USD,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU1833932517
ODDO BHF Green Planet CI-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189930287
ODDO BHF Artificial Intelligence DP-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU2209778385
ODDO BHF Artificial Intelligence CN-EUR[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU1833932863
ODDO BHF Artificial Intelligence CIw-USD,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU1833933325
ODDO BHF Génération CI-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=1675&IdSeqArray=1043667,FR0010576728
ODDO BHF Avenir Europe CR-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=1615&IdSeqArray=1367295,FR0000974149
ODDO BHF Haut Rendement 2023 CR-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=13652&IdSeqArray=1193150,FR0013173416
