name,pdf_url
COMGEST GROWTH JAPAN JPY I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN GBP Z H ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN CHF H ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN GBP U DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN GBP U ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN GBP SU ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN EUR Z H ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN EUR Z ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN EUR X H ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN EUR SI ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN EUR R H ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN EUR R DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN EUR R ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN EUR I H ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN EUR I DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN EUR I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN EUR H DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN JPY ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH INDIA USD I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH INDIA GBP U ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH INDIA EUR Z ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH INDIA USD X ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH INDIA EUR R ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH JAPAN GBP U H ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH INDIA USD ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH CHINA EUR X ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH CHINA USD I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH CHINA USD ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH CHINA GBP U ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH CHINA EUR Z ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH CHINA EUR SI ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH INDIA EUR I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH CHINA EUR I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH CHINA EUR R ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH LATIN AMERICA GBP U ACC,annual_report_does_not_exists
COMGEST GROWTH LATIN AMERICA USD I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH LATIN AMERICA USD ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH LATIN AMERICA EUR Z ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH LATIN AMERICA EUR R ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH LATIN AMERICA EUR I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH LATIN AMERICA EUR ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH CHINA EUR ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH JAPAN USD I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE SMALLER COMPANIES GBP U H ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
