name,pdf_url
SCOR FUNDS - Europe High Yield,https://www.scor-ip.com/blobs/com.cardiweb.cardiboxv6.cm.business.Article/4656002092322783932/fichier/1/en/RA_SCOR_FUNDS_-_2020.12.31.pdf
SCOR FUNDS - Euro Short Term Duration High Yield,https://www.scor-ip.com/blobs/com.cardiweb.cardiboxv6.cm.business.Article/4656002092322783932/fichier/1/en/RA_SCOR_FUNDS_-_2020.12.31.pdf
SCOR Sustainable Euro High Yield,https://www.scor-ip.com/blobs/com.cardiweb.cardiboxv6.cm.business.Article/2895080998435819244/fichier/1/en/RA_SCOR_EURO_HIGH_YIELD_-_2020.12.31_ENG.pdf
