name,pdf_url,isin
Aviva Investors Global Emerging Markets Equity Unconstrained Fund I USD Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU1985005260
Aviva Investors Emerging Markets Bond Fund Ih EUR Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0401379127
Aviva Investors Global Convertibles Fund Ih EUR Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0280568261
Aviva Investors Global High Yield Bond Fund I USD Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0367993663
Aviva Investors Emerging Markets Local Currency Bond Fund I EUR Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0273498039
Aviva Investors Emerging Markets Corporate Bond Fund Ih EUR Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0654799310
Aviva Investors Euro Liquidity Fund 3 EUR Inc,https://doc.morningstar.com/document/735c85f1944097c498c0328d8d733adb.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,IE00B3CKRG34
Aviva Investors Global High Yield Bond Fund Ih CAD Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0497137546
Aviva Investors Crédit Europe - Part ID,https://doc.morningstar.com/document/08f17049ee18408eeeb99605d7006ea1.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0007030663
Aviva Investors Climate Transition Global Credit Fund I EUR Acc,https://doc.morningstar.com/document/694fc7c776a5696ecc8db108067ff6c3.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU2299074331
Aviva Investors Climate Transition European Equity Fund I Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU1985004701
Aviva Investors Emerging Markets Equity Income Fund I USD Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0160791975
