name,pdf_url,isin
Mirova US Climate Ambition Equity Fund R (C) USD,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU1911612031
Mirova US Climate Ambition Equity Fund R (C) EUR,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU1911612627
Mirova Global Green Bond Fund R (C) EUR,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU1472740767
Mirova Global Green Bond Fund R (D) EUR,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU1525463862
Mirova Euro Green&Sustainable Corporate Bond Fund R (D) EUR,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU0552643925
Mirova Euro Green&Sustainable Corporate Bond Fund R (C) EUR,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU0552643842
Mirova Actions Euro R (C) EUR,https://ppu.am.natixis.com/SDU/MIROVA/HyPRUoxz3ahQcz7FTZOJe0KxXsd5po6YvgnmMalK1Shx7eqS8jYaXH4Bh2fYJswY7XZV7hzuKSlGXmkK0HqCRD0_g9t9XRABy_6byXt1yEk=,FR0012925774
Mirova Actions Euro R (D) EUR,https://ppu.am.natixis.com/SDU/MIROVA/HyPRUoxz3ahQcz7FTZOJe0KxXsd5po6YvgnmMalK1Shx7eqS8jYaXH4Bh2fYJswY7XZV7hzuKSlGXmkK0HqCRD0_g9t9XRABy_6byXt1yEk=,FR0010091116
Mirova Europe Sustainable Economy Fund R (C) EUR,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU1911611140
Mirova Europe Sustainable Economy Fund R (D) EUR,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU1911611223
Mirova Global Sustainable Equity Fund R (C) USD,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU0914730113
Mirova Global Sustainable Equity Fund R (C) CHF,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU0914730386
Mirova Global Sustainable Equity Fund R (D) EUR,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU0914730030
Mirova Global Sustainable Equity Fund R (C) EUR,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU0914729966
Mirova Global Sustainable Equity Fund R (C) GBP,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU0914730204
