name,pdf_url,files
Fourpoints Thematic Selection,https://www.fourpointsim.com/wp-content/uploads/2020/10/2020.12.31-Rapport-annuel-FOURPOINTS-Thematic-Selection-1.pdf,Four3.pdf
Fourpoints Mondrian,https://www.fourpointsim.com/wp-content/uploads/2018/06/2020.12.31-Rapport-annuel-FOURPOINTS-MONDRIAN.pdf,Four4.pdf
Fourpoints Euro Global Leaders,https://www.fourpointsim.com/wp-content/uploads/2012/11/2020.12.31-Rapport-annuel-FOURPOINTS-Euro-Global-Leaders.pdf,Four2.pdf
Valeur Intrinsèque,https://www.fourpointsim.com/wp-content/uploads/2019/01/2020.12.31-Rapport-annuel-Valeur-Intrinsèque.pdf,Four0.pdf
Fourpoints America,https://www.fourpointsim.com/wp-content/uploads/2012/11/2020.12.31-Rapport-annuel-FOURPOINTS-America.pdf,Four1.pdf
