name,pdf_url,isin,files
Pictet - EUR Short Term Corporate Bonds - HP USD,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0954603642,pictet1.pdf
Pictet - EUR Short Term Corporate Bonds - P,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0954602750,pictet1.pdf
Pictet - EUR Short Term Corporate Bonds - HP CHF,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0954603212,pictet1.pdf
Pictet - EUR Short Mid-Term Bonds - P dy,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0167159309,pictet1.pdf
Pictet - EUR High Yield - R dm,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0592898299,pictet1.pdf
Pictet - EUR Short Mid-Term Bonds - R,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0167160653,pictet1.pdf
Pictet - EUR Short Mid-Term Bonds - HP CHF,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0167162865,pictet1.pdf
Pictet - EUR Short Mid-Term Bonds - P,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0167158327,pictet1.pdf
Pictet - EUR High Yield - P,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0133807163,pictet1.pdf
Pictet - EUR High Yield - R,https://www.am.pictet/sitecore/api/ssc/PAM-CM-Controllers/Gateway/PAM/GetDocumentById?investerTypeCode=PRIVATE_INVESTORS&countryCode=fr&docId=78bdcdac-ecb5-4db4-b297-fb2e0ba2ccb4,LU0133807916,pictet1.pdf
